Source ID,Question Text
1,"In your own words, what issue concerns you the most?"
2,"I am going to name some issues, and I would like you to tell me if you believe the country is getting better, getting worse, or about the same as it was five years ago on these issues.... Providing quality public education"
3,Reducing anti-Hispanic and anti-immigrant attitudes
4,Providing well-paying jobs or creating jobs
5,Treating all people with dignity and respect
6,Making sure affordable housing is available
7,Providing equal opportunities in education and workplace
8,Reducing crime and violence
9,"Do you currently own the home you live in, or do you rent?"
10,"How many total jobs do you and your spouse or partner have, please include any part-time jobs."
11,How optimistic are you about the future of your finances and the opportunities that may lie ahead?
12,"Would you say that you are very optimistic, somewhat optimistic, not too optimistic, or not at all optimistic about the future of your finances?"
13,Could you rely on...borrowing from family or friends?
14,Could you rely on...money in your personal savings account?
15,Could you rely on...getting an extra job or working more hours?
16,"Thinking ahead into the next year or so, how worried, if at all, are you that you or someone in your household might lose their job and become unemployed?"
17,"Are you very worried, somewhat worried, not too worried, or not at all worried?"
18,Do you think the schools in your community are providing a quality education?
19,What would you say is the biggest issue affecting a child's quality of education?
20,Does the school your child attends have translators available at parent meetings and other school events?
21,Have you ever attended a meeting or conference with a counselor or principal?
22,Have you ever volunteered for a class or school activity or project?
23,"Have you ever attended a meeting or volunteered with parent organizations, like PTA (Parent Teacher Association)?"
24,Have you ever attended a back-to-school night or other school-wide meeting?
25,"Have you ever attended a public event like a football game, play, or music performance?"
26,Have you ever contacted a teacher to talk about your child's academic performance?
27,Have you ever attended a school board meeting to influence school rules or policy?
28,"In general, how would you describe your own health? Would you say it is excellent, very good, good, fair or poor?"
29,"How often do you visit a health provider? Would that be regularly, somewhat regularly, occasionally or not at all?"
30,Did you breastfeed any of your children?
31,"How long did you nurse your baby? If more than one child nursed, the one that nursed longest."
32,"When you were nursing your baby, did you receive support from a hospital or clinic?"
33,"Do you think things in this country are generally going in the right direction, or are they pretty seriously off on the wrong track?"
34,Providing access to health care
35,"All in all, would you say that your personal finances have gotten a lot better, somewhat better, somewhat worse or a lot worse during the past five years?"
36,"When people fall on tough economic times, they turn to different sources to help make ends meet."
37,"If you happened to fall on tough economic times, which of the following options could you rely on to help you pay for bills and other necessities?"
38,Could you rely on getting a loan from a bank or credit union?
39,Do childcare issues like schedule and costs make your work situation difficult?
40,"That could include, for example, looking for work, keeping up with your work schedule, or being promoted."
41,Tell me if you have ever participated in any of the following school-related activities at your child's school.
42,Have you ever attended a parent conference with a teacher?
43,Have you ever worked with other parents to address a problem or issue at the school?
44,"When you were nursing your baby, did you receive support from a breastfeeding counselor, midwife, or doula?"
45,"When you were nursing your baby, did you receive support from family members and friends?"
46,"When you were nursing your baby, did you receive support from your spouse/significant other/baby's father?"
47,"If you feel ill or sick, where do you usually go to seek healthcare?"
48,Is your healthcare provider located in an area that is convenient for you to get to?
49,Does your healthcare provider speak Spanish or have a translator available if needed?
50,"How familiar are you with the Affordable Care Act, sometimes referred to as Obamacare?"
51,"Would that be very familiar, somewhat familiar, not very familiar or not familiar at all?"
52,"Do you have health insurance? If not, do you plan to sign up for the Affordable Care Act, sometimes called 'Obamacare'?"
53,"In your opinion, how do local police, border patrol, and other law enforcement authorities treat Latinos?"
54,"Would you say Latinos are usually treated fairly, sometimes treated fairly, or usually treated unfairly?"
55,"Do you have any Latino friends, neighbors, or relatives who have been victims of police brutality by any law enforcement agency?"
56,"Do you worry that police, border patrol, or other law enforcement authorities will use excessive force against Latinos?"
57,Do you believe the local police and other law enforcement officers are there to protect you and your family?
58,Which languages are regularly spoken and used in your home?
59,"Would you say only Spanish, only English, both English and Spanish equally, both but more Spanish than English, or both but more English than Spanish?"
60,How satisfied are you with the federal government's performance on immigration policy?
61,"Would you say that you are very satisfied, somewhat satisfied, not very satisfied, or not satisfied at all?"
62,Where do you think Latinos encounter racism or discrimination most?
63,"Generally speaking, how would you describe the way English language media portrays Hispanics?"
64,"Now take a moment to think about all the people in your family, your friends, co-workers, and other people you know."
65,Do you happen to know somebody who is an undocumented immigrant?
66,"This is completely anonymous, and just for a simple demographic analysis."
67,Do you know a person or family member who faced detention or deportation for immigration reasons?
68,Mr. Garcia says Hispanics will have better opportunities if barriers to education and the workplace are broken down and Hispanics are encouraged and welcome to participate in all aspects of American life.
69,Mr. Garcia says including Hispanics and creating better opportunities will ultimately improve the lives of everyone.
70,Mr. Lopez says we have come a long way as a nation and there are enough opportunities for people who play by the rules.
71,"Mr. Lopez thinks Hispanics will be better off if they put less emphasis on their cultural identity, such as language, food, and traditions and ignore barriers that exist."
72,Whom do you agree with the most? Mr. Garcia or Mr. Lopez?
73,"To whom would you lean towards agreeing with the most, Garcia or Lopez?"
74,"Are you a naturalized US citizen, a legal permanent resident or green card holder, not a permanent resident but have some other type of visa, or none of these?"
75,"How about your parents, were they born in the United States, in Puerto Rico, or in another country?"
76,"Among the adults in your home, are any of them parents or in-laws?"
77,"Among the adults in your home, are any of them grandparents or great-grandparents?"
78,"Among the adults in your home, are any of them brothers or sisters?"
79,"Among the adults in your home, are any of them aunts, uncles, or cousins?"
80,"Among the adults in your home, are any of them other relatives or close friends?"
81,"Among the adults in your home, are any of them children or grandchildren?"
82,What was the main reason you decided to nurse your children?
83,"When you were nursing your baby, did you receive support from your employer?"
84,"When you were nursing your baby, did you receive support from other healthcare providers like nurses, doctors, promotoras?"
85,Homicide and suicide are among the leading causes of death among younger Hispanic men and boys.
86,"Do you know anyone who was killed in a homicide, committed suicide, or have you known victims of both homicide and suicide?"
87,What would you change about your local police department?
88,Hispanics living in the US come from many different backgrounds and places. How about you?
89,"Were you born in the US, born in Puerto Rico, or somewhere else?"
90,"How about your grandparents? How many were born in the United States or in another country, or tell me if some were born in the US and some were not?"
